epoch,accuracy,loss,val_accuracy,val_loss
0,0.9416666626930237,0.18480916321277618,0.9693333506584167,0.12292534112930298
1,0.9693499803543091,0.0907866358757019,0.9190000295639038,0.23604252934455872
2,0.9728166460990906,0.07550756633281708,0.922166645526886,0.16413792967796326
3,0.9734500050544739,0.07425791770219803,0.9628333449363708,0.09954611212015152
4,0.9730333089828491,0.07218988984823227,0.9750000238418579,0.07370736449956894
5,0.9765166640281677,0.06361010670661926,0.9768333435058594,0.06816547363996506
6,0.9750499725341797,0.06387826055288315,0.9800000190734863,0.051607050001621246
7,0.9768333435058594,0.05963413789868355,0.9783333539962769,0.06250103563070297
8,0.9763666391372681,0.05967206507921219,0.9810000061988831,0.057114072144031525
9,0.9783999919891357,0.05551398918032646,0.9771666526794434,0.06601810455322266
10,0.9788833260536194,0.05279403552412987,0.9728333353996277,0.07309093326330185
11,0.977816641330719,0.0542602464556694,0.9006666541099548,0.5303080677986145
12,0.9798499941825867,0.050153594464063644,0.9746666550636292,0.09144733101129532
13,0.9793333411216736,0.052067097276449203,0.9838333129882812,0.061943281441926956
14,0.9802500009536743,0.04948323220014572,0.9836666584014893,0.041222359985113144
15,0.981083333492279,0.0455380417406559,0.9783333539962769,0.08170799165964127
16,0.9800333380699158,0.04874946549534798,0.9833333492279053,0.03998163715004921
17,0.9811333417892456,0.0452456921339035,0.9854999780654907,0.03787185996770859
18,0.9805333614349365,0.046030670404434204,0.9798333048820496,0.07293983548879623
19,0.9811166524887085,0.04422590881586075,0.9836666584014893,0.043783437460660934
20,0.9814000129699707,0.042104143649339676,0.9821666479110718,0.051763251423835754
21,0.9821833372116089,0.04151538014411926,0.8808333277702332,1.3679348230361938
22,0.9813833236694336,0.04439886286854744,0.9861666560173035,0.03552422299981117
23,0.9816666841506958,0.041956737637519836,0.9858333468437195,0.03964267298579216
24,0.9825833439826965,0.04006851464509964,0.9831666946411133,0.043694622814655304
25,0.982366681098938,0.04082169383764267,0.9821666479110718,0.03842515870928764
26,0.9820500016212463,0.039785001426935196,0.9861666560173035,0.03658141940832138
27,0.98253333568573,0.03968234732747078,0.9858333468437195,0.03359409049153328
28,0.9829000234603882,0.03970734775066376,0.9821666479110718,0.053153712302446365
29,0.9826833605766296,0.03965914249420166,0.9860000014305115,0.03492221236228943
30,0.982783317565918,0.03709077835083008,0.9869999885559082,0.030770307406783104
31,0.9827333092689514,0.038395050913095474,0.9836666584014893,0.041295140981674194
32,0.9822166562080383,0.03952547162771225,0.9825000166893005,0.04890485852956772
33,0.9824166893959045,0.03995123878121376,0.9861666560173035,0.03307229280471802
34,0.9833166599273682,0.03730764612555504,0.9860000014305115,0.03310804441571236
35,0.9834166765213013,0.03641144558787346,0.984333336353302,0.03967461362481117
36,0.9829166531562805,0.037525128573179245,0.9850000143051147,0.03426618129014969
37,0.9827333092689514,0.03712470084428787,0.9851666688919067,0.03626944124698639
38,0.9834499955177307,0.036318156868219376,0.9298333525657654,0.4294341206550598
39,0.9830833077430725,0.03748743236064911,0.9865000247955322,0.02981920912861824
40,0.9833333492279053,0.035633768886327744,0.9275000095367432,1.4074431657791138
41,0.9825500249862671,0.038702767342329025,0.981166660785675,0.03704776242375374
42,0.9833499789237976,0.0369199775159359,0.987666666507721,0.02789396420121193
43,0.9835500121116638,0.03459734842181206,0.9856666922569275,0.02936825156211853
